iter	Passed	Remaining
0	0	31
1	0	28
2	0	25
3	1	24
4	1	24
5	1	26
6	1	26
7	2	24
8	2	23
9	2	23
10	2	22
11	2	21
12	3	20
13	3	20
14	3	19
15	3	19
16	3	19
17	4	18
18	4	18
19	4	17
20	4	17
21	4	17
22	5	16
23	5	16
24	5	16
25	5	16
26	5	15
27	6	15
28	6	15
29	6	14
30	6	14
31	6	14
32	6	14
33	7	13
34	7	13
35	7	13
36	7	13
37	7	12
38	8	12
39	8	12
40	8	12
41	8	11
42	8	11
43	8	11
44	9	11
45	9	10
46	9	10
47	9	10
48	9	10
49	10	10
50	10	9
51	10	9
52	10	9
53	10	9
54	11	9
55	11	8
56	11	8
57	11	8
58	11	8
59	12	8
60	12	7
61	12	7
62	12	7
63	12	7
64	13	7
65	13	6
66	13	6
67	13	6
68	13	6
69	14	6
70	14	5
71	14	5
72	14	5
73	14	5
74	15	5
75	15	4
76	15	4
77	15	4
78	15	4
79	16	4
80	16	3
81	16	3
82	16	3
83	16	3
84	17	3
85	17	2
86	17	2
87	17	2
88	17	2
89	17	1
90	18	1
91	18	1
92	18	1
93	18	1
94	18	0
95	19	0
96	19	0
97	19	0
98	19	0
99	19	0
